time,vehicle_id,speed,edge,x,y
245.0,103,0.000426048242597628,C0C1,401.6,184.29789634026972
245.0,104,1.4841780111296503,C0C1,401.6,176.14715028987678
245.0,105,0.0002474779908677922,B2B1,198.4,223.20321477889408
245.0,107,0.0,C2B2,208.20104530950232,401.6
245.0,108,13.90624291097869,C1C0,398.4,68.86627042399175
245.0,109,12.210218367000536,A2B2,111.04487864905867,398.4
245.0,110,11.723985009974308,C1B1,326.2695662323687,201.6
245.0,111,10.113319731051488,C1C0,398.4,165.70852923990935
245.0,112,0.0001118588965951642,A0B0,191.79896248385134,-1.6
245.0,113,0.0006264080796458696,B1B2,201.6,356.6332427288954
245.0,114,5.782634608471804,A2B2,10.088297478825503,398.4
245.0,115,10.623541639867389,A0B0,176.4229350003704,-1.6
245.0,116,10.587136611879057,B2A2,3.720729731908051,401.6
245.0,117,12.691910652543463,A2A1,-1.6,260.2750502848574
245.0,118,13.672716158340595,C1C2,401.6,317.2309815622654
245.0,119,14.60697877784448,B2A2,102.27532880747492,401.6
245.0,120,12.16914480219259,B1A1,187.70000000000002,201.6
245.0,121,7.532114000789064,B1B2,201.6,224.7694775023883
245.0,122,1.4085151245357659,A1B1,12.3,198.4
245.0,45,0.0,:B2_5,200.85611111111112,393.91583333333335
245.0,55,12.78628680277016,A1A2,1.6,255.8030126236232
245.0,56,0.0,A1B1,181.76684876133507,198.4
245.0,57,15.038489660689423,C1C0,398.4,95.84836613370172
245.0,58,0.0,B2B1,198.4,215.70203876859554
245.0,60,4.795800018713523,B1B2,201.6,340.1829782106978
245.0,61,10.506321319880488,B1B2,201.6,321.8544645135712
245.0,64,9.897967060797312,C1B1,373.8524318783174,201.6
245.0,69,13.907676388236188,B1A1,100.50590476551768,201.6
245.0,75,0.029053445814622457,B1B2,201.6,349.1279137088601
245.0,76,1.7136848673922942,:B1_22,198.18258694217434,199.86955216530458
245.0,77,0.0,B1B2,201.6,371.6358930388676
245.0,78,0.0,B1B2,201.6,386.63799867636993
245.0,80,0.0,B1B2,201.6,379.13693198784915
245.0,81,0.0,A1B1,174.26579350972364,198.4
245.0,82,9.374942857683449,A1A0,-1.6,179.31001558684613
245.0,83,0.0,A1B1,166.7647714603042,198.4
245.0,85,0.0,B2B1,198.4,208.2010109470803
245.0,86,10.44156412037393,B0C0,390.0104689889837,-1.6
245.0,87,8.047016405798756,B1A1,10.301683765817302,201.6
245.0,88,0.0,B0B1,201.6,191.79898848734948
245.0,89,0.001455612429105196,A1B1,151.76144849712244,198.4
