time,vehicle_id,road,speed
33,9,C1B1,10.77
34,0,B1B0,0.0
34,1,B2A2,12.64
34,10,C1B1,11.37
34,11,B0B1,13.4
34,12,C2B2,14.03
34,13,A1A0,14.59
34,14,C1C0,13.05
34,15,C1B1,11.83
34,16,B1B2,12.05
34,17,B0C0,13.08
34,2,B0B1,13.5
34,3,C2B2,14.98
34,4,B1A1,0.0
34,5,A1B1,11.08
34,6,A1B1,13.3
34,7,B1C1,8.46
34,8,A1B1,7.5
34,9,C1B1,6.27
35,0,B1B0,0.0
35,1,B2A2,11.95
35,10,C1B1,6.87
35,11,B0B1,13.76
35,12,C2B2,14.5
35,13,A1A0,15.44
35,14,C1C0,13.43
35,15,C1B1,12.61
35,16,B1B2,11.57
35,17,B0C0,11.78
35,2,:B1_9,13.77
35,3,C2B2,14.97
35,4,B1A1,0.0
35,5,A1B1,11.08
35,6,A1B1,14.17
35,7,B1C1,10.91
35,8,A1B1,9.57
35,9,C1B1,1.77
36,0,B1B0,0.0
36,1,B2A2,11.95
36,10,C1B1,2.37
36,11,B0B1,10.96
36,12,C2B2,13.51
36,13,A1A0,15.27
36,14,C1C0,13.05
36,15,C1B1,11.74
36,16,B1B2,11.33
36,17,B0C0,12.13
36,18,C1B1,4.7
36,2,B1B2,13.99
36,3,:B2_0,14.18
36,4,B1A1,0.0
36,5,A1B1,10.72
36,6,A1B1,13.67
36,7,B1C1,11.88
36,8,A1B1,11.19
36,9,C1B1,0.0
37,0,B1B0,0.0
37,1,B2A2,9.56
37,10,C1B1,0.31
37,11,:B1_10,7.01
37,12,C2B2,11.86
37,13,A1A0,15.36
37,14,C1C0,13.69
37,15,C1B1,12.02
37,16,B1B2,11.04
37,17,B0C0,12.44
37,18,C1B1,6.58
37,2,B1B2,13.43
37,3,B2A2,14.54
37,4,B1A1,0.0
37,5,A1B1,11.12
37,6,A1B1,14.49
37,7,B1C1,11.1
37,8,A1B1,11.88
37,9,C1B1,0.0
38,0,B1B0,0.0
38,1,:A2_0,5.06
38,10,C1B1,0.01
38,11,:B1_20,7.4
38,12,C2B2,7.36
38,13,A1A0,14.98
38,14,C1C0,12.9
38,15,C1B1,12.77
38,16,B1B2,11.83
38,17,B0C0,12.38
38,18,C1B1,8.15
38,19,C1C0,12.9
38,2,B1B2,13.25
38,3,B2A2,14.15
38,4,B1A1,0.0
38,5,A1B1,10.87
38,6,A1B1,14.49
38,7,B1C1,11.1
38,8,A1B1,12.47
38,9,C1B1,0.0
39,0,B1B0,0.0
39,1,:A2_0,5.06
39,10,C1B1,0.01
39,11,B1A1,7.32
39,12,:B2_1,4.41
39,14,C1C0,12.93
39,15,C1B1,12.27
39,16,B1B2,11.84
39,17,B0C0,12.94
39,18,C1B1,10.66
39,19,C1C0,15.0
39,2,B1B2,13.27
39,3,B2A2,15.03
39,4,B1A1,0.0
39,5,A1B1,10.27
39,6,A1B1,14.09
39,7,B1C1,11.75
39,8,A1B1,12.46
39,9,C1B1,0.0
40,0,B1B0,0.0
40,1,A2A1,5.59
40,10,C1B1,0.0
40,11,B1A1,8.93
40,12,:B2_9,6.3
40,14,C1C0,12.85
40,15,C1B1,12.67
40,16,B1B2,12.11
40,17,B0C0,12.02
40,18,C1B1,12.7
40,19,C1C0,15.2
40,2,B1B2,13.62
40,20,B2C2,13.89
40,3,B2A2,14.16
40,4,B1A1,0.0
40,5,A1B1,10.39
40,6,A1B1,13.58
40,7,B1C1,11.9
40,8,A1B1,12.53
40,9,C1B1,0.0
41,0,B1B0,0.0
41,1,A2A1,8.13
41,10,C1B1,0.0
41,11,B1A1,10.74
41,12,B2B1,7.98
41,14,C1C0,12.86
41,15,C1B1,12.54
41,16,B1B2,11.87
41,17,B0C0,12.7
41,18,C1B1,11.81
41,19,C1C0,14.88
41,2,B1B2,13.77
41,20,B2C2,13.12
41,3,B2A2,14.98
41,4,B1A1,0.0
41,5,A1B1,11.49
41,6,A1B1,13.63
41,7,B1C1,11.81
41,8,A1B1,12.96
41,9,C1B1,0.0
42,0,B1B0,0.0
42,1,A2A1,10.19
42,10,C1B1,0.0
42,11,B1A1,13.22
42,12,B2B1,10.47
42,14,C1C0,8.36
42,15,C1B1,12.55
42,16,B1B2,11.17
42,17,B0C0,12.1
42,18,C1B1,12.98
42,19,C1C0,14.89
42,2,B1B2,12.9
42,20,B2C2,13.92
42,3,B2A2,14.44
42,4,B1A1,0.0
42,5,A1B1,11.02
42,7,B1C1,12.1
42,8,A1B1,11.77
42,9,C1B1,0.0
43,0,B1B0,0.0
43,1,A2A1,11.79
43,10,C1B1,0.0
43,11,B1A1,13.55
43,12,B2B1,12.26
43,14,C1C0,4.0
43,15,C1B1,9.75
43,16,B1B2,11.58
43,17,B0C0,12.76
43,18,C1B1,12.38
43,19,C1C0,15.17
43,2,B1B2,14.0
43,20,B2C2,13.15
43,21,A2A1,11.79
43,3,B2A2,14.54
43,4,B1A1,0.0
43,5,A1B1,11.4
43,7,B1C1,11.29
43,8,A1B1,12.88
43,9,C1B1,0.0
44,0,B1B0,0.0
44,1,A2A1,12.27
44,10,C1B1,0.0
44,11,B1A1,13.51
44,12,B2B1,13.71
44,14,:C0_0,2.67
44,15,C1B1,5.25
44,16,B1B2,12.01
44,17,B0C0,12.89
44,18,C1B1,12.79
44,19,C1C0,15.84
44,2,B1B2,13.49
44,20,B2C2,13.79
44,21,A2A1,13.85
44,22,A0B0,13.54
44,3,B2A2,14.33
44,4,B1A1,0.0
44,5,A1B1,11.52
44,7,B1C1,11.83
44,8,A1B1,13.01
44,9,C1B1,0.0
45,0,:B0_0,2.26
45,1,A2A1,11.8
45,10,C1B1,0.0
45,11,B1A1,14.08
45,12,B2B1,14.36
45,14,C0B0,3.72
45,15,C1B1,0.75
45,16,B1B2,11.08
45,17,B0C0,13.06
45,18,C1B1,11.78
45,19,C1C0,14.96
45,2,B1B2,13.46
45,20,B2C2,13.75
45,21,A2A1,13.76
45,22,A0B0,13.06
45,3,B2A2,13.85
45,4,:A1_11,2.54
45,5,A1B1,11.22
45,7,B1C1,11.38
45,8,A1B1,12.83
45,9,:B1_6,2.27
46,0,:B0_0,3.64
46,1,A2A1,12.11
46,10,C1B1,1.26
46,11,B1A1,14.06
46,12,B2B1,13.66
46,14,C0B0,6.12
46,15,C1B1,0.3
46,16,B1B2,10.95
46,17,B0C0,12.57
46,18,C1B1,12.62
46,19,C1C0,15.62
46,2,B1B2,12.49
46,20,B2C2,13.69
46,21,A2A1,12.65
46,22,A0B0,12.28
46,23,A1A0,12.36
46,3,B2A2,13.76
46,4,A1B1,3.15
46,5,A1B1,10.77
46,7,B1C1,11.62
46,8,A1B1,12.73
46,9,:B1_18,4.15
47,0,B0A0,6.16
47,1,A2A1,12.35
47,10,C1B1,3.0
47,11,B1A1,13.3
47,12,B2B1,13.71
47,14,C0B0,7.93
47,15,C1B1,1.24
47,16,B1B2,10.61
47,17,B0C0,12.27
47,18,C1B1,11.97
47,19,C1C0,15.03
47,2,B1B2,12.46
47,20,B2C2,13.1
47,21,A2A1,13.22
47,22,A0B0,12.57
47,23,A1A0,12.23
47,3,B2A2,14.48
47,4,A1B1,5.39
47,5,A1B1,10.4
47,7,B1C1,11.12
47,8,A1B1,11.18
47,9,:B1_18,5.99
48,0,B0A0,7.92
48,1,A2A1,12.59
48,10,:B1_4,4.93
48,11,B1A1,13.45
48,12,B2B1,13.9
48,14,C0B0,10.31
48,15,C1B1,1.99
48,16,B1B2,6.7
48,17,B0C0,11.87
48,18,C1B1,12.0
48,19,C1C0,16.02
48,2,B1B2,10.68
48,20,B2C2,13.25
48,21,A2A1,12.98
48,22,A0B0,12.31
48,23,A1A0,12.3
48,24,B2B1,11.47
48,3,B2A2,14.12
48,4,A1B1,7.38
48,5,:B1_14,5.9
48,7,B1C1,11.28
48,8,A1B1,11.7
48,9,B1B0,6.75
49,0,B0A0,10.4
49,1,A2A1,12.73
49,10,:B1_4,6.76
49,11,B1A1,13.25
49,12,B2B1,14.13
49,14,C0B0,12.26
49,15,C1B1,3.42
49,16,:B2_3,5.23
49,17,B0C0,10.08
49,18,C1B1,11.31
49,19,C1C0,14.92
49,2,B1B2,7.77
49,20,B2C2,12.87
49,21,A2A1,13.41
49,22,A0B0,13.05
49,23,A1A0,11.37
49,24,B2B1,10.44
49,3,B2A2,10.33
49,4,A1B1,9.56
49,5,:B1_14,1.62
49,8,A1B1,7.2
49,9,B1B0,8.17
50,0,B0A0,12.36
50,1,A2A1,12.66
50,10,B1B2,6.97
50,11,B1A1,14.08
50,12,B2B1,13.82
50,14,C0B0,13.08
50,15,C1B1,4.78
50,16,B2C2,5.1
50,17,:C0_1,5.58
50,18,C1B1,9.45
50,19,C1C0,10.46
50,2,B1B2,6.64
50,20,B2C2,13.25
50,21,A2A1,13.33
50,22,A0B0,13.07
50,23,A1A0,11.81
